Problem,Solution
sixty three minus thirty eight,twenty five
one plus eighty six,eighty seven
thirty eight minus eighty one,minus forty three
twenty eight minus thirty four,minus six
forty two plus nine,fifty one
fifty one plus fifty nine,one hundred and ten
fifty plus sixty two,one hundred and twelve
fifty five minus one,fifty four
eighty eight minus ninety nine,minus eleven
fifty five divided by twenty one,two point six two
thirty two minus eighty six,minus fifty four
eight times seventy nine,six hundred and thirty two
eighty three plus twenty eight,one hundred and eleven
eighty seven minus sixty three,twenty four
nine times seventy three,six hundred and fifty seven
thirty three minus sixty five,minus thirty two
thirteen plus one,fourteen
sixteen times seventy four,one thousand one hundred and eighty four
thirty three divided by eighty one,zero point four one
eighteen divided by one hundred,zero point one eight
forty two times six,two hundred and fifty two
ninety nine times thirteen,one thousand two hundred and eighty seven
thirty nine minus eighty nine,minus fifty
seventeen divided by eighty seven,zero point two
eighty four plus sixty five,one hundred and forty nine
nineteen times forty eight,nine hundred and twelve
seventy five minus thirty five,forty
ninety four minus twenty four,seventy
forty five plus eleven,fifty six
seventy two plus ninety six,one hundred and sixty eight
eighty two times seventy one,five thousand eight hundred and twenty two
thirty plus sixty five,ninety five
thirty six divided by thirty one,one point one six
seventy eight times four,three hundred and twelve
eighty divided by thirty four,two point three five
thirty two minus ninety five,minus sixty three
seventy seven minus fourteen,sixty three
sixty times seventy nine,four thousand seven hundred and forty
twelve plus forty three,fifty five
sixty four divided by forty six,one point three nine
eighty seven times eighty eight,seven thousand six hundred and fifty six
ninety nine times sixty six,six thousand five hundred and thirty four
five times seventy five,three hundred and seventy five
thirty four divided by sixty nine,zero point four nine
ninety four plus seven,one hundred and one
fifty seven plus thirty eight,ninety five
forty six divided by seventy six,zero point six one
thirty five minus fifty three,minus eighteen
twenty seven minus sixteen,eleven
six minus eighty two,minus seventy six
forty five divided by five,nine
forty eight divided by twenty two,two point one eight
six times twenty six,one hundred and fifty six
twenty three times thirty two,seven hundred and thirty six
fifteen minus thirty nine,minus twenty four
sixty four divided by seventeen,three point seven six
forty one minus seven,thirty four
eighty two divided by forty three,one point nine one
ninety nine times fifty eight,five thousand seven hundred and forty two
ninety plus twenty eight,one hundred and eighteen
ninety five plus twenty one,one hundred and sixteen
eighty eight times forty two,three thousand six hundred and ninety six
thirty seven divided by eighty,zero point four six
seventy five minus twenty eight,forty seven
four times twenty two,eighty eight
seventy four plus twenty,ninety four
eighty nine minus thirty seven,fifty two
forty seven times seventy nine,three thousand seven hundred and thirteen
sixty three minus fifty three,ten
twenty two divided by fifty six,zero point three nine
eighteen divided by forty three,zero point four two
eighty divided by forty nine,one point six three
ten divided by eighty one,zero point one two
ten times thirty seven,three hundred and seventy
eighty two plus ninety nine,one hundred and eighty one
sixty nine divided by fifty one,one point three five
forty nine divided by seventy three,zero point six seven
fifteen minus forty six,minus thirty one
forty four minus thirty seven,seven
eleven minus eighty eight,minus seventy seven
seventy four times six,four hundred and forty four
sixteen plus ninety,one hundred and six
thirty five times eighty six,three thousand and ten
fifty two divided by six,eight point six seven
ninety one plus twenty one,one hundred and twelve
fifty one minus twelve,thirty nine
nine plus seven,sixteen
seventy three divided by sixty one,one point two
twenty five plus fifty seven,eighty two
one hundred plus eighteen,one hundred and eighteen
sixty six plus twenty eight,ninety four
eighty six minus twelve,seventy four
thirty one plus ninety eight,one hundred and twenty nine
thirty seven minus twelve,twenty five
eighty five divided by forty,two point one two
ninety two minus twenty seven,sixty five
six divided by twenty seven,zero point two two
seventy eight divided by forty one,one point nine
seventy four minus thirty eight,thirty six
ninety seven divided by eighty two,one point one eight
one divided by fifty one,zero point zero two
eighty nine plus fifty four,one hundred and forty three
fifty two minus one,fifty one
twelve minus nine,three
sixty two divided by eight,seven point seven five
seventy divided by seventy six,zero point nine two
twenty four plus thirty,fifty four
thirty times seventy two,two thousand one hundred and sixty
five times forty six,two hundred and thirty
one minus twenty seven,minus twenty six
forty eight minus ninety five,minus forty seven
twenty five divided by twenty nine,zero point eight six
forty three plus eighty,one hundred and twenty three
six divided by eighty nine,zero point zero seven
sixty four plus sixty seven,one hundred and thirty one
fifty two plus thirty one,eighty three
thirty two plus forty six,seventy eight
ninety three times fifty four,five thousand and twenty two
sixteen plus forty three,fifty nine
sixty one times seventy eight,four thousand seven hundred and fifty eight
thirty six minus ninety seven,minus sixty one
seventy five minus seventeen,fifty eight
four plus ten,fourteen
twenty five divided by forty two,zero point six
eighty two times eighty eight,seven thousand two hundred and sixteen
twenty nine divided by forty nine,zero point five nine
ninety eight plus sixty eight,one hundred and sixty six
thirty two divided by twenty six,one point two three
ninety nine minus thirty seven,sixty two
fifteen divided by ninety six,zero point one six
eighty five plus two,eighty seven
eighty eight minus eighty eight,zero
thirty four divided by seventeen,two
twenty eight minus fifty three,minus twenty five
twenty two plus seventy one,ninety three
seventy one divided by forty six,one point five four
ninety six times twenty six,two thousand four hundred and ninety six
forty four plus forty one,eighty five
forty six minus twenty one,twenty five
two plus eleven,thirteen
forty nine minus nineteen,thirty
forty seven times sixty five,three thousand and fifty five
seventy one divided by sixteen,four point four four
eighty seven divided by thirty two,two point seven two
seventy four minus fifty eight,sixteen
thirty six divided by eighteen,two
fifty four plus two,fifty six
thirty nine times forty two,one thousand six hundred and thirty eight
sixty eight divided by seventy four,zero point nine two
sixty two plus ninety six,one hundred and fifty eight
eighty one plus twenty two,one hundred and three
ninety six times fifty four,five thousand one hundred and eighty four
twenty six plus nineteen,forty five
thirty five times fifty seven,one thousand nine hundred and ninety five
thirteen minus seventy eight,minus sixty five
fifty five times thirty eight,two thousand and ninety
twenty nine times nine,two hundred and sixty one
fifty five divided by fifty three,one point zero four
sixty three minus thirty,thirty three
sixty three plus sixty two,one hundred and twenty five
sixty six minus nine,fifty seven
fifty nine times thirteen,seven hundred and sixty seven
